date,namespace,contract_address,daily_incoming_txs,daily_active_users,daily_gas_used,daily_gas_cost_sei,daily_rank_within_namespace
2025-02-01 00:00:00.000 UTC,steer protocol,0x4cb98e1eeef513086b6a724f6b5401031b125649,2,2,81292,0.00008948908518132,2
2025-02-01 00:00:00.000 UTC,symbiosis finance,0x5523985926aa12ba58dc5ad00ddca99678d7227e,343,1,66013104,0.07510670267564029,1
2025-02-01 00:00:00.000 UTC,symbiosis finance,0xce8f24a58d85ed5c5a6824f7be1f8d4711a0eb4c,8,7,3916083,0.004696751599724404,2
2025-02-01 00:00:00.000 UTC,teahouse,0x199044e2799cf9099b1d84b29a09f8ff23d00391,4,4,3074729,0.00369613555176662,1
2025-02-01 00:00:00.000 UTC,vertex,0x2777268eee0d224f99013bc4af24ec756007f1a6,302,2,1918403810,2.8775294796,1
2025-02-01 00:00:00.000 UTC,yaka,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,719,30,172322033,1.5057864272613604,1
2025-02-01 00:00:00.000 UTC,yaka,0x36068f15f257896e03fb7edba3d18898d0ade809,87,38,26338322,0.03079346187947808,2
2025-02-01 00:00:00.000 UTC,yei,0x4a4d9abd36f923cba0af62a39c01dec2944fb638,1854,778,508721328,2.0630281999961637,1
2025-02-01 00:00:00.000 UTC,yei,0x60485c5e5e3d535b16cc1bd2c9243c7877374259,181,129,92515614,0.18463665595423936,2
2025-02-01 00:00:00.000 UTC,yei,0xbc096b6a7d5404de916b3333ad223a1b32eec8aa,68,39,20375514,0.025481791293693743,3
2025-01-31 00:00:00.000 UTC,abacus,0x26f32245fcf5ad53159e875d5cae62aecf19c2d4,1,1,1141811,0.115322911,1
2025-01-31 00:00:00.000 UTC,api3,0x709944a48caf83535e43471680fda4905fb3920a,481,7,84608844,0.11810168057068418,1
2025-01-31 00:00:00.000 UTC,beefy,0x02ae4716b9d5d48db1445814b0ede39f5c28264b,2,1,816987,0.001123357125,1
2025-01-31 00:00:00.000 UTC,beefy finance,0x730c6f352e585ea0c29e30f8abae1fc2117a1035,1,1,1053983,0.002109915422715191,1
2025-01-31 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001002,128,90,58099071,0.10469518569334646,1
2025-01-31 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001004,692,7,53093136,0.14076846080180402,2
2025-01-31 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001007,31,26,3373633,0.004716540065374277,3
2025-01-31 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001005,32,22,2312736,0.003392231881536876,4
2025-01-31 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001001,33,17,1701754,0.02826111652047364,5
2025-01-31 00:00:00.000 UTC,carbon_defi,0xc56eb3d03c5d7720daf33a3718affb9bcab03fbc,2550,3,1239182901,1.8105356779125266,1
2025-01-31 00:00:00.000 UTC,compound_v3,0x2f925542d1689258be55f87e17fcd8b7480d76f0,1,1,62759,0.000069725310566579,1
2025-01-31 00:00:00.000 UTC,curate,0x2c80179883217370f777e76c067eea91d8283c5c,3,3,81867,0.0000982404,1
2025-01-31 00:00:00.000 UTC,deterministic deployer,0x4e59b44847b379578588920ca78fbf26c0b4956c,1,1,3792982,0.0041722802,1
2025-01-31 00:00:00.000 UTC,dragon_swap,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,212,21,59592405,5.657252802170006,1
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x11da6463d6cb5a03411dbf5ab6f6bc3997ac7428,13628,748,1997846468,13.711181939054358,1
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x47595f7f86f72a4a7c2b33858b2d1a448f663234,1,1,129480,0.00027195572606904,2
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0xc6dbf525d0ecf4b34b7ec8e2869256eb12414865,1,1,106676,0.000224550229039312,3
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0xd0553a0853c57267c1f2e212347002b052595558,1,1,103929,0.000218324009582553,4
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x9e0f3349580ebdfd546effb0def17100c60a7af9,1,1,101682,0.0002135322,5
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x69e2edd60bbcd42fd5ed549599de249a9a34b98b,1,1,101527,0.00021325433849894,6
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x48904b7b93f4af97a687168fdbfaab80f28eae54,1,1,101456,0.0002130576,7
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x882f62fe8e9594470d1da0f70bc85096f6c60423,1,1,101420,0.000212982,8
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x2fee090f5867169484fddd99c3a098df115b5801,1,1,93144,0.000195682804043112,9
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x95e351f268918cf85391857d91f3f63cd04215d5,1,1,76305,0.00016167126193863,10
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x9788c190c55a1c6e20597d52506bd49bb758e984,1,1,76207,0.000162376198330914,11
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x3e00dd875fef6ce2209007c1e625d9a656e32556,1,1,71026,0.000149245097280718,12
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0xd055cce7afb85c3cffb3d295640e8f9c5d18b145,1,1,70931,0.000150404956948435,13
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0xe0f20947365d2fcf5fabd14ad4415ab18191bd3a,1,1,70916,0.000148937959284428,14
2025-01-31 00:00:00.000 UTC,dragon_swap_sei_v2,0x1d7267b9c9b14f755f9eb316d05dfd8810fe86e8,1,1,61852,0.0001298892,15
2025-01-31 00:00:00.000 UTC,gamma,0xfe4bb996926aca85c9747bbec886ec2a3f510c66,22,1,16620153,0.05074329693590408,1
2025-01-31 00:00:00.000 UTC,hyperlane_v3,0x2f2afae1139ce54fefc03593fee8ab2adf4a85a7,199,2,34123741,3.446497841,1
2025-01-31 00:00:00.000 UTC,hyperlane_v3,0xfc62def1f08793abf0e67f69257c6be258194f72,13,1,632362,0.063868562,2
2025-01-31 00:00:00.000 UTC,jelly_swap,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,1541,133,240877001,0.3496202609538907,1
2025-01-31 00:00:00.000 UTC,layer zero,0xe1844c5d63a9543023008d332bd3d2e6f1fe1043,141,1,10794402,0.01573179586910452,1
2025-01-31 00:00:00.000 UTC,layerzero,0x3c2269811836af69497e5f486a85d7316753cf62,1836,1,70176000,0.10743147223946851,1
2025-01-31 00:00:00.000 UTC,layerzero,0xc097ab8cd7b053326dfe9fb3e3a31a0cce3b526f,152,2,17326719,0.025540708914182045,2
2025-01-31 00:00:00.000 UTC,lifi,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,317,192,172286003,0.236785072991422,1
2025-01-31 00:00:00.000 UTC,lzv2,0x1a44076050125825900e736c501f859c50fe728c,2,1,252760,0.000631972702371325,1
2025-01-31 00:00:00.000 UTC,meson,0x25ab3efd52e6470681ce037cd546dc60726948d3,3,1,165397,0.000263218141836596,1
2025-01-31 00:00:00.000 UTC,nucleus,0xb52c7d88f0514796877b04cf945e56cc4c66cd05,2,2,806562,0.0025003384,1
2025-01-31 00:00:00.000 UTC,nucleus,0xcaf6fc6bab79a32a1169cb6a35bfa1d6b8551bd2,1,1,388090,0.00077630499641529,2
2025-01-31 00:00:00.000 UTC,nucleus,0x6035832f65b0cf20064681505b73a6de307a04cb,1,1,54005,0.00012596330468512,4
2025-01-31 00:00:00.000 UTC,nucleus,0x24152894decc7384b05e8907d6adadd82c176499,1,1,54005,0.000109225261607805,3
2025-01-31 00:00:00.000 UTC,oku,0xdd489c75be1039ec7d843a6ac2fd658350b067cf,19270,8,2692977706,10.023077753550108,1
2025-01-31 00:00:00.000 UTC,oku,0xa683c66045ad16abb1bce5ad46a64d95f9a25785,231,22,58227813,0.0934400882169409,2
2025-01-31 00:00:00.000 UTC,okx_swell,0x7251febeabb01ec9de53ece7a96f1c951f886dd2,1,1,368001,0.000411091681861926,1
2025-01-31 00:00:00.000 UTC,openocean_v2,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,151,28,76194240,0.3026550110250929,1
2025-01-31 00:00:00.000 UTC,pyth,0x2880ab155794e7179c9ee2e38200202908c17b43,28,1,8994915,0.013074251292133172,1
2025-01-31 00:00:00.000 UTC,quizmatch,0xd844298d9d42d652e263e2b4c750e5578d8b1e7a,14472,3254,623051506,0.7871426615312331,1
2025-01-31 00:00:00.000 UTC,reservoir,0x224ecb4eae96d31372d1090c3b0233c8310dbbab,190,59,74581332,0.3548107399858088,1
2025-01-31 00:00:00.000 UTC,seaport,0x0000000000000068f116a894984e2db1123eb395,143,71,60780134,0.08873950358571113,1
2025-01-31 00:00:00.000 UTC,seaport,0x864baa13e01d8f9e26549dc91b458cd15e34eb7c,1,1,238548,0.000923594789633952,2
2025-01-31 00:00:00.000 UTC,seipex,0xe70aaa288f801b208074171be87b804178ce5d11,3,3,276678,0.00030521667619022,1
2025-01-31 00:00:00.000 UTC,seiyanfun,0x613cb5b7a8ffd4304161f30fba46ce4284c25e21,1,1,129377,0.0001423147,1
2025-01-31 00:00:00.000 UTC,stargate,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,1,1,21656,0.000023838858619264,1
2025-01-31 00:00:00.000 UTC,steer protocol,0xb944789b5c962f1096ce8674456e68fb0f2e3bb7,17,3,2961949,0.003261252320424076,1
2025-01-31 00:00:00.000 UTC,steer protocol,0x4cb98e1eeef513086b6a724f6b5401031b125649,1,1,40652,0.000148081174391896,2
2025-01-31 00:00:00.000 UTC,symbiosis finance,0x5523985926aa12ba58dc5ad00ddca99678d7227e,496,1,106709505,0.15148679250215738,1
2025-01-31 00:00:00.000 UTC,symbiosis finance,0xce8f24a58d85ed5c5a6824f7be1f8d4711a0eb4c,6,6,4146588,0.009599148869406302,2
2025-01-31 00:00:00.000 UTC,symbiosis finance,0x2b7aa8bdc40b6d3d19d0de7480c4db8d5b6495e2,3,3,1148791,0.001417819694887572,3
2025-01-31 00:00:00.000 UTC,teahouse,0x199044e2799cf9099b1d84b29a09f8ff23d00391,18,8,12126596,0.015607605680038068,1
2025-01-31 00:00:00.000 UTC,ty,0x76f948e5f13b9a84a81e5681df8682bbf524805e,1,1,740128,0.001555072635997856,1
2025-01-31 00:00:00.000 UTC,vertex,0x2777268eee0d224f99013bc4af24ec756007f1a6,703,8,4441134183,7.676337009832707,1
2025-01-31 00:00:00.000 UTC,vertex,0xc73fbebb30b1415fdb40a0ad650c76d6f7e522b5,9,9,1119768,0.001280096187450968,2
2025-01-31 00:00:00.000 UTC,yaka,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,1674,48,403330669,5.681389441931921,1
2025-01-31 00:00:00.000 UTC,yaka,0x36068f15f257896e03fb7edba3d18898d0ade809,94,41,24100855,0.029266058453004715,2
2025-01-31 00:00:00.000 UTC,yei,0x4a4d9abd36f923cba0af62a39c01dec2944fb638,767,234,227137940,3.691020065917091,1
2025-01-31 00:00:00.000 UTC,yei,0x60485c5e5e3d535b16cc1bd2c9243c7877374259,260,177,139109492,0.420825573094273,2
2025-01-31 00:00:00.000 UTC,yei,0xbc096b6a7d5404de916b3333ad223a1b32eec8aa,93,54,28927955,0.06954183833612056,3
2025-01-31 00:00:00.000 UTC,zksync_era,0x0000000000000000000000000000000000000000,2,1,43288,0.000047665727538996,1
2025-01-31 00:00:00.000 UTC,zora,0xca11bde05977b3631167028862be2a173976ca11,1,1,286753,0.028962053,1
2025-01-30 00:00:00.000 UTC,api3,0x709944a48caf83535e43471680fda4905fb3920a,389,11,68355601,0.08307268754455319,1
2025-01-30 00:00:00.000 UTC,beefy,0x02ae4716b9d5d48db1445814b0ede39f5c28264b,2,1,816920,0.001577300135986404,1
